timestamp,value,UpperLimit,LowerLimit,isOutlier
2014-07-01T02:00:00.000+02:00,3820.0,37899.01328492514,-6526.804951591808,false
2014-07-02T02:00:00.000+02:00,4820.0,35913.82646998758,-5265.53480332091,false
2014-07-03T02:00:00.000+02:00,5826.0,34062.35098042756,-3842.2676470942297,false
2014-07-04T02:00:00.000+02:00,9980.0,25870.657783824132,-2560.491117157464,false
2014-07-05T02:00:00.000+02:00,11006.0,25115.062371560587,-2193.520704893919,false
2014-07-06T02:00:00.000+02:00,11134.0,25212.41404457563,-3562.914044575631,false
2014-07-07T02:00:00.000+02:00,3181.0,31803.195674560182,-5066.445674560182,false
2014-07-08T02:00:00.000+02:00,3451.0,37004.546564715,-6526.963231381667,false
2014-07-09T02:00:00.000+02:00,4667.0,37469.724136233395,-5973.557469566729,false
2014-07-10T02:00:00.000+02:00,5247.0,37461.89515516611,-4990.603488499439,false
2014-07-11T02:00:00.000+02:00,8444.0,37324.182059063634,-3370.1820590636307,false
2014-07-12T02:00:00.000+02:00,19221.0,35911.78600771104,-2763.8276743776987,false
2014-07-13T02:00:00.000+02:00,19468.0,30812.26394789408,-3581.38894789408,false
2014-07-14T02:00:00.000+02:00,3479.0,35277.01080367174,-6469.052470338413,false
2014-07-15T02:00:00.000+02:00,3933.0,37395.896231996216,-6871.187898662882,false
2014-07-16T02:00:00.000+02:00,4559.0,37303.7086003318,-5465.583600331804,false
2014-07-17T02:00:00.000+02:00,6006.0,37106.00265949509,-4400.585992828421,false
2014-07-18T02:00:00.000+02:00,8951.0,37007.55698186073,-3185.4736485274007,false
2014-07-19T02:00:00.000+02:00,18524.0,35611.06235049502,-2728.5623504950236,false
2014-07-20T02:00:00.000+02:00,19217.0,29309.022101607035,-2875.8554349403657,false
2014-07-21T02:00:00.000+02:00,3370.0,33411.453763259626,-5369.495429926295,false
2014-07-22T02:00:00.000+02:00,3753.0,37978.99625760936,-6482.49625760936,false
2014-07-23T02:00:00.000+02:00,4711.0,38955.35124073185,-6025.559574065181,false
2014-07-24T02:00:00.000+02:00,5355.0,37849.37029882062,-4850.286965487281,false
2014-07-25T02:00:00.000+02:00,8915.0,37219.717449688265,-3161.050783021601,false
2014-07-26T02:00:00.000+02:00,18663.0,35571.552526573636,-2341.7608599069717,false
2014-07-27T02:00:00.000+02:00,19122.0,29895.73499198845,-2892.4016586551206,false
2014-07-28T02:00:00.000+02:00,3694.0,29328.012045379768,-4135.387045379768,false
2014-07-29T02:00:00.000+02:00,3834.0,35868.56588289043,-6032.232549557097,false
2014-07-30T02:00:00.000+02:00,4935.0,36620.25580196878,-5509.6308019687785,false
