mean,stddev,timestamp
6331.0,1738.6606914519002,2014-06-30T02:00:00.000+02:00
15686.104166666666,7404.303039419491,2014-07-01T02:00:00.000+02:00
15324.145833333334,6863.226878884749,2014-07-02T02:00:00.000+02:00
15110.041666666666,6317.436437920298,2014-07-03T02:00:00.000+02:00
11655.083333333334,4738.524816830266,2014-07-04T02:00:00.000+02:00
11460.770833333334,4551.430512742418,2014-07-05T02:00:00.000+02:00
10824.75,4795.888014858544,2014-07-06T02:00:00.000+02:00
13368.375,6144.940224853394,2014-07-07T02:00:00.000+02:00
15238.791666666666,7255.251632682777,2014-07-08T02:00:00.000+02:00
15748.083333333334,7240.546934300021,2014-07-09T02:00:00.000+02:00
16235.645833333334,7075.416440610925,2014-07-10T02:00:00.000+02:00
16977.0,6782.394019687877,2014-07-11T02:00:00.000+02:00
16573.979166666668,6445.935613681455,2014-07-12T02:00:00.000+02:00
13615.4375,5732.27548263136,2014-07-13T02:00:00.000+02:00
14403.979166666666,6957.677212335026,2014-07-14T02:00:00.000+02:00
15262.354166666666,7377.84735510985,2014-07-15T02:00:00.000+02:00
15919.0625,7128.215366777267,2014-07-16T02:00:00.000+02:00
16352.708333333334,6917.764775387252,2014-07-17T02:00:00.000+02:00
16911.041666666668,6698.838438398023,2014-07-18T02:00:00.000+02:00
16441.25,6389.937450165008,2014-07-19T02:00:00.000+02:00
13216.583333333334,5364.146256091233,2014-07-20T02:00:00.000+02:00
14020.979166666666,6463.491532197654,2014-07-21T02:00:00.000+02:00
15748.25,7410.248752536454,2014-07-22T02:00:00.000+02:00
16464.895833333332,7496.818469132838,2014-07-23T02:00:00.000+02:00
16499.541666666668,7116.609544051316,2014-07-24T02:00:00.000+02:00
17029.333333333332,6730.128038784977,2014-07-25T02:00:00.000+02:00
16614.895833333332,6318.885564413435,2014-07-26T02:00:00.000+02:00
13501.666666666666,5464.6894417739295,2014-07-27T02:00:00.000+02:00
12596.3125,5577.233181793256,2014-07-28T02:00:00.000+02:00
14918.166666666666,6983.46640540792,2014-07-29T02:00:00.000+02:00
15555.3125,7021.6477673229265,2014-07-30T02:00:00.000+02:00
16219.479166666666,6962.633143964219,2014-07-31T02:00:00.000+02:00
16627.020833333332,6480.772913221711,2014-08-01T02:00:00.000+02:00
16307.354166666666,6238.692793006738,2014-08-02T02:00:00.000+02:00
13176.3125,5283.736734451231,2014-08-03T02:00:00.000+02:00
